Zpid,Price,PriceLabel,Address,Bedrooms,Bathrooms,LivingArea,Latitude,Longitude,Zipcode,City,State,LotArea,LotAreaUnit,Country
72783018,2150000,$2.15M,"1801 W Beach Blvd, Gulf Shores, AL 36542",6.0,5,2990.0,30.240505,-87.7425,36542,Gulf Shores,AL,13677.84,acres,USA
75939690,245000,$245K,"408 Highland Ave, Muscle Shoals, AL 35661",3.0,2,1725.0,34.742733,-87.671074,35661,Muscle Shoals,AL,11761.2,acres,USA
75983536,196000,$196K,"123 Brentwood Dr, Gadsden, AL 35901",3.0,2,1558.0,34.041798,-85.96857,35901,Gadsden,AL,21344.4,acres,USA
76003721,70000,$70K,"405 S Washington St, Columbia, AL 36319",3.0,2,2038.0,31.288584,-85.11329,36319,Columbia,AL,30927.6,acres,USA
76005960,50000,$50K,"1200 Cannon Rd, Dothan, AL 36301",2.0,1,923.0,31.20348,-85.37252,36301,Dothan,AL,12196.8,acres,USA
76012537,350000,$350K,"225 Morning Glory Ln, Dothan, AL 36305",3.0,3,2729.0,31.23047,-85.469,36305,Dothan,AL,9147.6,sqft,USA
76021532,250000,$250K,"1406 Pinedale Dr, Opelika, AL 36801",3.0,2,2317.0,32.664227,-85.376274,36801,Opelika,AL,24829.2,acres,USA
76072494,120000,$120K,"1004 Forest Rd, Jasper, AL 35504",4.0,2,2131.0,33.85746,-87.26308,35504,Jasper,AL,30492.0,acres,USA
76072723,532000,$532K,"407 Loblolly Ln, Jasper, AL 35504",5.0,5,3537.0,33.856636,-87.27979,35504,Jasper,AL,44431.2,acres,USA
76077169,153700,$154K,"7219 Old Tuscaloosa Rd, Jasper, AL 35501",3.0,2,1216.0,33.77189,-87.30946,35501,Jasper,AL,52272.0,acres,USA
80134287,226900,$227K,"457 Hidden Ridge Dr, Odenville, AL 35120",3.0,2,1704.0,33.674152,-86.47549,35120,Odenville,AL,17424.0,acres,USA
81729940,305000,$305K,"2685 Rolling Meadows Dr, Jasper, AL 35503",3.0,2,2054.0,33.88381,-87.296394,35503,Jasper,AL,1.07366688E8,acres,USA
89732285,225200,$225K,"18383 Mahaffey Cir, Vance, AL 35490",3.0,2,1328.0,33.16987,-87.23705,35490,Vance,AL,21780.0,acres,USA
90647151,260000,$260K,"374 Lee Road 187, Opelika, AL 36804",3.0,2,1564.0,32.613976,-85.26759,36804,Opelika,AL,29620.8,acres,USA
90651310,292000,$292K,"35 Lee Road 2124, Phenix City, AL 36870",3.0,2,1631.0,32.481606,-85.1179,36870,Phenix City,AL,24363.11,acres,USA
92089750,320000,$320K,"241 Pin Oak Dr, Madison, AL 35758",3.0,3,1837.0,34.731926,-86.74238,35758,Madison,AL,19602.0,acres,USA
92099122,214000,$214K,"3023 Greenhill Dr NW, Huntsville, AL 35810",4.0,3,1386.0,34.767384,-86.608025,35810,Huntsville,AL,18730.8,acres,USA
92114583,320000,$320K,"2519 Wynterhall Rd SE, Huntsville, AL 35803",4.0,3,2237.0,34.61001,-86.55511,35803,Huntsville,AL,12196.8,acres,USA
92116419,465000,$465K,"2616 Bransford Trl SE, Owens Cross Roads, AL 35763",4.0,3,2815.0,34.680878,-86.450615,35763,Owens Cross Roads,AL,12632.4,acres,USA
92167392,410000,$410K,"200 Wild Berry Ln, Harvest, AL 35749",4.0,3,3275.0,34.83837,-86.748314,35749,Harvest,AL,21780.0,acres,USA
92182611,250000,$250K,"100 Westbury Dr SW, Huntsville, AL 35802",5.0,3,2861.0,34.68974,-86.56878,35802,Huntsville,AL,27007.2,acres,USA
104479945,150000,$150K,"142 Cleveland Rd, Valley, AL 36854",3.0,2,1424.0,32.80399,-85.17264,36854,Valley,AL,20037.6,acres,USA
104518818,105000,$105K,"11 N Monroe St, Frisco City, AL 36445",3.0,2,1400.0,31.337137,-87.4254,36445,Frisco City,AL,14374.8,acres,USA
104545109,289900,$290K,"3901 Brookwood Dr, Phenix City, AL 36867",3.0,2,1977.0,32.498196,-85.02706,36867,Phenix City,AL,21780.0,acres,USA
104550736,222800,$223K,"59 Redwood Dr, Phenix City, AL 36869",3.0,2,1528.0,32.386536,-85.04439,36869,Phenix City,AL,12600.0,acres,USA
109209476,295250,$295K,"7004 Ashton Springs Blvd, Huntsville, AL 35806",3.0,2,1685.0,34.795933,-86.68637,35806,Huntsville,AL,6419.0,sqft,USA
109235218,176000,$176K,"1401 Montevallo Rd, Weaver, AL 36277",3.0,2,1185.0,33.749184,-85.83895,36277,Weaver,AL,16988.4,acres,USA
109251940,299900,$300K,"122 Grey Mare St, Harvest, AL 35749",4.0,3,3127.0,34.833263,-86.77326,35749,Harvest,AL,9147.6,sqft,USA
