zpid,price,priceLabel,address,beds,baths,hdpData.homeInfo.livingArea,latLong.latitude,latLong.longitude,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,country,,
332841347,460000,,12170 Woodward Dr,5,3,1486,27.867619,-149.83926,99516,Anchorage,AK,9583.2,Square Feet,USA,,
332844008,"$365,000",$365K,"166 Ocean Park Dr, Anchorage, AK 99515",5,5,1532,27.86877,-149.88017,99515,Anchorage,AK,4356,sqft,USA,,
332845549,365000,,166 Ocean Park Dr,5,4,1532,27.86906,-149.88017,99515,Anchorage,AK,4356,Square Feet,USA,,
332845629,"$679,000",$679K,"11440 Doggie Ave, Anchorage, AK 99507",5,4,2449,27.86931,-149.7179,99507,Anchorage,AK,0.52,acres,USA,,
333831804,"$695,000",$695K,"11335 Tulin Park Loop, Anchorage, AK 99516",5,3,2522,27.869522,-149.82965,99516,Anchorage,AK,8712,sqft,USA,,
334523516,385000,,1100 E 112th Ave APT 2,5,3,1602,27.869884,-149.862,99515,Anchorage,AK,,sqft,USA,,
335763205,385000,,1100 E 112th Ave APT 2,5,4,1602,27.871706,-149.862,99515,Anchorage,AK,,sqft,USA,,
337206304,635000,,2356 Leander Cir,5,4,2202,27.87313,-149.92455,99515,Anchorage,AK,7840.8,Square Feet,USA,,
337534906,699900,,10640 Stroganof Dr,5,4,4721,27.873758,-149.71687,99507,Anchorage,AK,0.68,Acres,USA,,
337856693,699900,,10640 Stroganof Dr,5,4,4721,27.87446,-149.71687,99507,Anchorage,AK,0.68,Acres,USA,,
337856757,750000,,6815 Double Tree Ct,5,4,3667,27.874508,-149.75424,99507,Anchorage,AK,0.47,Acres,USA,,
338131791,"$280,000",$280K,"1110 Golden Berry Ave, Anchorage, AK 99515",5,4,880,27.875214,-149.86104,99515,Anchorage,AK,3484.8,sqft,USA,,
338907314,280000,,1110 Golden Berry Ave,5,4,880,27.876377,-149.86104,99515,Anchorage,AK,3484.8,Square Feet,USA,,
339462694,"$3,495,000",$3.50M,"3806 N Point Cir, Anchorage, AK 99502",5,3,7098,27.877117,-149.95007,99502,Anchorage,AK,0.61,acres,USA,,
345339118,3495000,,3806 N Point Cir,5,3,7098,27.878115,-149.95007,99502,Anchorage,AK,0.61,Acres,USA,,
345339118,575000,,2923 Kingfisher Dr,5,3,2022,27.8794,-149.93408,99502,Anchorage,AK,8712,Square Feet,USA,,
347758515,770000,,6057 Jan Marie Dr,5,3,2260,27.879463,-149.99307,99502,Anchorage,AK,8276.4,Square Feet,USA,,
348731871,"$509,900",$510K,"8521 Greenhill Way, Anchorage, AK 99502",5,4,1826,27.87966,-149.91597,99502,Anchorage,AK,9147.6,sqft,USA,,
350527173,509900,,8521 Greenhill Way,5,5,1826,27.880373,-149.91597,99502,Anchorage,AK,9147.6,Square Feet,USA,,
351740027,540000,,8401 Stacey Cir,5,5,1950,27.881296,-149.8123,99507,Anchorage,AK,7405.2,Square Feet,USA,,
359221633,336000,,2900 Sun Spot Cir,5,2,1302,27.881964,-149.82834,99507,Anchorage,AK,4356,Square Feet,USA,,
359221633,336000,,2900 Sun Spot Cir,5,4,1302,27.881989,-149.82834,99507,Anchorage,AK,4356,Square Feet,USA,,
366576010,"$550,000",$550K,"8441 Berry Patch Dr, Anchorage, AK 99502",5,7,1941,27.88273,-149.91281,99502,Anchorage,AK,6098.4,sqft,USA,,
372220260,"$479,000",$479K,"8000 Summerset Dr, Anchorage, AK 99518",5,3,2400,27.883877,-149.89378,99518,Anchorage,AK,9147.6,sqft,USA,,
440007730,"$570,000",$570K,"7817 Brentwood Dr, Anchorage, AK 99502",5,2,2575,27.88415,-149.95337,99502,Anchorage,AK,9583.2,sqft,USA,,
440450209,"$485,000",$485K,"2521 W 77th Ct, Anchorage, AK 99502",5,4,1819,27.884796,-149.92633,99502,Anchorage,AK,7405.2,sqft,USA,,
440534871,479900,,7340 Biglerville Cir,5,4,1804,27.884998,-149.82458,99507,Anchorage,AK,8276.4,Square Feet,USA,,
440732829,479900,,7340 Biglerville Cir,5,3,1804,27.885477,-149.82458,99507,Anchorage,AK,8276.4,Square Feet,USA,,
440737518,"$475,000",$475K,"7341 Bulen Dr, Anchorage, AK 99507",5,4,1624,27.886646,-149.8214,99507,Anchorage,AK,7840.8,sqft,USA,,
441713768,"$350,000",$350K,"3727 W 74th Ave, Anchorage, AK 99502",5,5,1856,27.888292,-149.94919,99502,Anchorage,AK,0.62,acres,USA,,
441756551,280000,,501 Nathan Dr APT 5,5,3,1160,27.88846,-149.8749,99518,Anchorage,AK,,sqft,USA,,
442271537,224000,,6631 Weimer Dr APT F,5,3,853,27.888681,-149.9489,99502,Anchorage,AK,,sqft,USA,,
442388567,224000,,6631 Weimer Dr APT F,5,3,853,27.896093,-149.9489,99502,Anchorage,AK,,sqft,USA,,
442607357,265000,,2807 Malibu Meadows Way #2A,5,5,1090,27.896194,-149.93607,99517,Anchorage,AK,,sqft,USA,,
443297624,"$306,000",$306K,"4906 Cambridge Way, Anchorage, AK 99503",5,4,2184,27.89692,-149.9042,99503,Anchorage,AK,8712,sqft,USA,,
443812979,515000,,4407 Irene Dr,5,5,2732,27.897224,-149.74431,99504,Anchorage,AK,0.25,Acres,USA,,
444094356,"$435,000",$435K,"5240 E 42nd Ave, Anchorage, AK 99508",5,5,2012,27.897394,-149.78246,99508,Anchorage,AK,10454.4,sqft,USA,,
444115796,500000,,4154 Hampton Dr,5,4,2486,27.899206,-149.75923,99504,Anchorage,AK,0.25,Acres,USA,,
444214506,515000,,2511 Abbey Ln,5,3,2090,27.89966,-149.93227,99517,Anchorage,AK,7405.2,Square Feet,USA,,
444362874,345000,,3171 Horizon St,5,5,1048,27.900167,-149.96097,99517,Anchorage,AK,4356,Square Feet,USA,,
444458243,"$275,000",$275K,"4839 Bryn Mawr Ct APT 5, Anchorage, AK 99508",5,4,971,27.90194,-149.79083,99508,Anchorage,AK,,,USA,,
444482973,319000,,2242 Brookshire Loop,5,4,1357,27.901962,-149.73164,99504,Anchorage,AK,,sqft,USA,,
445984617,"$525,000",$525K,"7524 Eastbrook Cir, Anchorage, AK 99519",5,3,1895,27.902311,-149.73962,99519,Anchorage,AK,6534,sqft,USA,,
448420286,449900,,2140 Dawson St,5,4,1810,27.902802,-149.89204,99503,Anchorage,AK,9583.2,Square Feet,USA,,
448746564,"$300,000",$300K,"1522 Rosemary St, Anchorage, AK 99508",5,5,1363,27.90283,-149.81927,99508,Anchorage,AK,0.25,acres,USA,,
448757912,"$299,000",$299K,"1430 Columbine St, Anchorage, AK 99508",5,3,2805,27.902964,-149.81834,99508,Anchorage,AK,7405.2,sqft,USA,,
448760219,430000,,1414 Airport Heights Dr,5,6,1765,27.905073,-149.82387,99508,Anchorage,AK,9583.2,Square Feet,USA,,
448861134,430000,,1414 Airport Heights Dr,5,5,1765,27.905252,-149.82387,99508,Anchorage,AK,9583.2,Square Feet,USA,,
449319167,430000,,1414 Airport Heights Dr,5,6,1765,27.905396,-149.82387,99508,Anchorage,AK,9583.2,Square Feet,USA,,
450145943,"$90,000",$90K,"1118 Ingra St, Anchorage, AK 99501",5,4,960,27.905634,-149.86755,99501,Anchorage,AK,6969.6,sqft,USA,,
450635596,"$750,000",$750K,"4539 E 7th Ave, Anchorage, AK 99508",5,3,5760,27.906061,-149.79518,99508,Anchorage,AK,0.36,acres,USA,,
450650488,399900,,227 Park St,5,3,2040,27.906326,-149.80229,99508,Anchorage,AK,6098.4,Square Feet,USA,,
450779921,"$415,000",$415K,"3216 Tarwater Ave, Anchorage, AK 99508",5,4,1570,27.906364,-149.82082,99508,Anchorage,AK,6534,sqft,USA,,
450876172,415000,,3216 Tarwater Ave,5,6,1570,27.907152,-149.82082,99508,Anchorage,AK,6534,Square Feet,USA,,
451989858,349000,,428 N Pine St,5,4,1356,27.9082,-149.79396,99508,Anchorage,AK,6098.4,Square Feet,USA,,
452736089,190000,,509 Irwin St,5,2,768,27.908518,-149.80977,99508,Anchorage,AK,6098.4,Square Feet,USA,,
452857574,"$1,100,000",$1.10M,"19330 Stonehill Dr, Eagle River, AK 99577",5,3,4200,27.908716,-149.52194,99577,Eagle River,AK,36.07,acres,USA,,
452857574,1100000,,19330 Stonehill Dr,5,3,4200,27.909107,-149.52194,99577,Eagle River,AK,36.07,Acres,USA,,
452857574,1100000,,19330 Stonehill Dr,5,3,4200,27.910519,-149.52194,99577,Eagle River,AK,36.07,Acres,USA,,
453293601,"$465,000",$465K,"19051 Chrystal Island Dr, Eagle River, AK 99577",5,3,1740,27.911533,-149.52608,99577,Eagle River,AK,7405.2,sqft,USA,,
453585268,"$325,000",$325K,"10247 Vfw Rd, Eagle River, AK 99577",5,4,2400,27.915043,-149.57346,99577,Eagle River,AK,0.72,acres,USA,,
453825300,"$350,000",$350K,"24641 Chugiak Dr, Chugiak, AK 99567",5,6,1450,27.916834,-149.42229,99567,Chugiak,AK,0.46,acres,USA,,
454648768,350000,,24641 Chugiak Dr,5,5,1450,27.917019,-149.42229,99567,Chugiak,AK,0.46,Acres,USA,,
454898538,"$1,950,000",$1.95M,"19652 W Blue Goose Rd, Wasilla, AK 99623",5,4,5744,27.918762,-149.93407,99623,Wasilla,AK,200,acres,USA,,
455132577,1950000,,19652 W Blue Goose Rd,5,7,5744,27.922367,-149.93407,99623,Wasilla,AK,200,Acres,USA,,
455787241,1950000,,19652 W Blue Goose Rd,5,8,5744,27.924583,-149.93407,99623,Wasilla,AK,200,Acres,USA,,
457266985,"$399,900",$400K,"8395 S Ivanhoe St, Palmer, AK 99645",5,6,1576,27.924713,-148.90755,99645,Palmer,AK,1.9,acres,USA,,
457498559,399900,,8395 S Ivanhoe St,5,5,1576,27.925985,-148.90755,99645,Palmer,AK,1.9,Acres,USA,,
457498559,950000,,6517 S Becky Ln,5,4,2150,27.928726,-149.91748,99623,Wasilla,AK,1.3,Acres,USA,,
457571651,"$279,000",$279K,"4520 S Bodenburg Loop, Palmer, AK 99645",5,2,3577,27.929102,-149.06567,99645,Palmer,AK,2,acres,USA,,
457598844,334900,,4570 S Navigators Cir,5,3,1740,27.930798,-149.59308,99623,Wasilla,AK,0.92,Acres,USA,,
457620593,334900,,4570 S Navigators Cir,5,3,1740,27.931353,-149.59308,99623,Wasilla,AK,0.92,Acres,USA,,
457665465,"$399,900",$400K,"4280 S Headvic Ct, Wasilla, AK 99654",5,4,1788,27.932262,-149.545,99654,Wasilla,AK,0.92,acres,USA,,
457678396,"$499,000",$499K,"3288 W Birch Meadows Rd, Wasilla, AK 99654",5,2,1867,27.932772,-149.53314,99654,Wasilla,AK,1.45,acres,USA,,
457688727,510000,,1130 E Chugach View Dr,5,2,2544,27.934105,-149.42165,99654,Wasilla,AK,0.92,Acres,USA,,
457725687,510000,,1130 E Chugach View Dr,5,8,2544,27.93428,-149.42165,99654,Wasilla,AK,0.92,Acres,USA,,
457751755,510000,,1130 E Chugach View Dr,5,8,2544,27.938074,-149.42165,99654,Wasilla,AK,0.92,Acres,USA,,
457969122,"$310,000",$310K,"205 W Pennington Pl, Wasilla, AK 99654",5,5,1456,27.938099,-149.45364,99654,Wasilla,AK,0.92,acres,USA,,
458004806,380000,,2501 S Saindon St,5,3,1900,27.938948,-149.54945,99623,Wasilla,AK,1,Acres,USA,,
458182526,"$445,000",$445K,"174 E Leota St, Wasilla, AK 99654",5,5,1915,27.942207,-149.44806,99654,Wasilla,AK,0.93,acres,USA,,
458226934,445000,,174 E Leota St,5,3,1915,27.943645,-149.44806,99654,Wasilla,AK,0.93,Acres,USA,,
458294405,"$549,000",$549K,"5209 W Jaxton Cir, Wasilla, AK 99623",5,5,2185,27.944042,-149.58119,99623,Wasilla,AK,0.92,acres,USA,,
458396364,549000,,5209 W Jaxton Cir,5,6,2185,27.94535,-149.58119,99623,Wasilla,AK,0.92,Acres,USA,,
458467528,569000,,1890 S Endeavor St,5,3,2264,27.946684,-149.48196,99654,Wasilla,AK,1.05,Acres,USA,,
458476168,289500,,"Willow Crystal Forest Plan, Crystal Forest",5,3,1102,27.947231,-149.57732,99654,Wasilla,AK,,sqft,USA,,
458725694,429000,,1329 Muir St,5,3,2064,27.95258,-149.59523,99654,Wasilla,AK,0.92,Acres,USA,,
458733475,269000,,280 E Susitna Ave APT B,5,8,1280,27.953356,-149.44444,99654,Wasilla,AK,435.6,Square Feet,USA,,
458783165,268000,,814 N Singer Ct,5,8,1260,27.953358,-149.54344,99623,Wasilla,AK,0.46,Acres,USA,,
458830108,268000,,814 N Singer Ct,5,3,1260,27.953413,-149.54344,99623,Wasilla,AK,0.46,Acres,USA,,
458842070,"$494,000",$494K,"3101 W Youngtree Dr, Wasilla, AK 99623",5,3,2162,27.955126,-149.52997,99623,Wasilla,AK,1.25,acres,USA,,
458842292,695000,,735 W Winter Ave,5,3,2920,27.956064,-149.47005,99654,Wasilla,AK,0.92,Acres,USA,,
458845393,554000,,1301 S Felton St,5,3,2716,27.956976,-149.13426,99645,Palmer,AK,5,Acres,USA,,
458854624,554000,,1301 S Felton St,5,4,2716,27.958391,-149.13426,99645,Palmer,AK,5,Acres,USA,,
458918335,"$420,000",$420K,"1195 N Lucille St, Wasilla, AK 99654",5,3,2052,27.958832,-149.45004,99654,Wasilla,AK,0.48,acres,USA,,
459001135,420000,,1195 N Lucille St,5,3,2052,27.959646,-149.45004,99654,Wasilla,AK,0.48,Acres,USA,,
459143903,645000,,1380 N Bloodstone Cir,6,7,2305,27.962597,-149.48932,99654,Wasilla,AK,0.94,Acres,USA,,
